id,batsman_name,team,zone,runs,shot_type,angle,distance,match_id,season,bowler,over,ball
69,Dipendra Airee,Sudurpaschim Royals,behind_wicket,4,four,270,80,S1_M11,1,Sandeep Lamichhane,4,3
70,Dipendra Airee,Sudurpaschim Royals,leg_gully,2,double,200,50,S1_M11,1,Chris Sole,6,5
71,Kushal Bhurtel,Chitwan Rhinos,cover,4,four,30,82,S2_M1,2,Mohammad Mohsin,3,2
72,Kushal Bhurtel,Chitwan Rhinos,long_off,6,six,90,96,S2_M1,2,Lalit Rajbanshi,5,4
73,Kushal Bhurtel,Chitwan Rhinos,mid_wicket,4,four,155,78,S2_M1,2,Ben Mike,7,1
74,Anil Sah,Janakpur Bolts,point,4,four,8,80,S2_M1,2,Sohail Tanvir,4,3
75,Anil Sah,Janakpur Bolts,cover,6,six,32,94,S2_M1,2,Amar Routela,6,5
76,Sharad Vesawkar,Chitwan Rhinos,mid_on,4,four,128,76,S2_M2,2,Rashid Khan,3,1
77,Sharad Vesawkar,Chitwan Rhinos,straight,4,four,95,80,S2_M2,2,Karan KC,5,3
78,Sharad Vesawkar,Chitwan Rhinos,square_leg,6,six,178,92,S2_M2,2,Shahab Alam,7,5
79,Dev Khanal,Karnali Yaks,cover,0,out,30,35,S2_M3,2,Lalit Rajbanshi,2,4
80,Babar Hayat,Karnali Yaks,mid_wicket,0,out,152,42,S2_M3,2,Mohammad Mohsin,4,2
81,Chadwick Walton,Karnali Yaks,point,4,four,5,80,S2_M3,2,Harsh Thaker,6,1
82,Chadwick Walton,Karnali Yaks,cover,4,four,28,78,S2_M3,2,Kishor Mahato,8,3
83,Zeeshan Maqsood,Karnali Yaks,long_on,0,out,112,48,S2_M3,2,Neesham,10,5
84,Stephen Eskinazi,Kathmandu Gurkhas,cover,2,double,32,52,S2_M4,2,Sohail Tanvir,3,2
85,Stephen Eskinazi,Kathmandu Gurkhas,slip,0,out,-45,25,S2_M4,2,Sohail Tanvir,5,4
86,Sumit Maharjan,Kathmandu Gurkhas,mid_on,4,four,130,78,S2_M4,2,Rijan Dhakal,7,1
87,Sumit Maharjan,Kathmandu Gurkhas,cover,1,single,28,35,S2_M4,2,Kushal Malla,9,3
88,Shankar Rana,Kathmandu Gurkhas,mid_wicket,6,six,155,94,S2_M4,2,Luc Benkenstein,11,5
89,Shankar Rana,Kathmandu Gurkhas,long_off,4,four,88,82,S2_M4,2,Amar Routela,13,2
90,Dan Douthwaite,Kathmandu Gurkhas,cover,4,four,30,80,S2_M4,2,Rijan Dhakal,15,4
91,Dan Douthwaite,Kathmandu Gurkhas,straight,2,double,98,55,S2_M4,2,Sohail Tanvir,17,1
92,Hassan Eisakhil,Chitwan Rhinos,point,4,four,5,82,S2_M5,2,Sandeep Lamichhane,2,3
93,Hassan Eisakhil,Chitwan Rhinos,cover,6,six,32,96,S2_M5,2,Chris Sole,4,5
94,Deepak Bohara,Chitwan Rhinos,mid_wicket,6,six,150,94,S2_M5,2,Aqib Ilyas,6,2
95,Luc Benkenstein,Chitwan Rhinos,long_on,4,four,115,85,S2_M5,2,Pratis GC,8,4
96,Luc Benkenstein,Chitwan Rhinos,cover,4,four,28,78,S2_M5,2,Jitendra Mukhiya,10,1
97,Luc Benkenstein,Chitwan Rhinos,mid_wicket,0,out,155,40,S2_M5,2,Sandeep Lamichhane,12,3
98,Bhim Sharki,Kathmandu Gurkhas,point,0,out,5,28,S2_M6,2,Sohail Tanvir,3,5
99,Karan KC,Kathmandu Gurkhas,cover,4,four,30,80,S2_M6,2,Rijan Dhakal,5,2
100,Karan KC,Kathmandu Gurkhas,slip,0,out,-42,30,S2_M6,2,Sohail Tanvir,7,4
